PLOT NUMBER,SIZE PER PLOT, PRICE PER HA , FINAL VALUE ,BUYER'S NAME, DEPOSIT ,BALANCE
K060,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K061,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K062,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K063,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K064,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K065,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K066,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K067,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K068,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K069,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K070,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K071,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K072,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K073,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K074,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K075,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K076,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K077,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K078,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K079,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K080,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K081,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K082,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K083,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K084,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K085,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K086,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K087,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K088,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K089,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K090,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K091,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K092,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K093,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K094,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K095,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K096,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K097,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K098,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K099,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K100,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K101,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K102,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K103,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K104,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K105,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K106,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K107,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K108,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K109,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K110,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K111,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K112,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K113,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K114,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K115,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K116,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K117,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K118,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K119,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K120,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K121,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K122,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K123,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K124,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K125,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K126,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
K127,0.0442," 205,882,352.00 "," 9,099,999.96 ",,," 9,099,999.96 "
